,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,fraud
0,40,-0.41157094,0.57149285,0.82599205,3.0463116,2.022147,2.4970744,0.004893193,3.0058985,2.3176436,0.4727308,-1.5712072,1.6650841,-3.1172967,0.058978245,0.82420486,-1.6755246,0.9952429,-0.6678895,-0.96174735,0.79833,0.6841027,-2.8658686,1.1442891,1.8200611,0.5400644,1.2328874,3.9074297,-1.2808869,3.8585796,0.6156478,-0.69796365,1.3108063,-0.8013422,3.124096,2.807062,2.3276625,2.0553322,0.80995846,-3.0762246,4.898835,0.8181662,2.6139867,-1.920072,0.2809255,-0.82900614,-1.4845186,-3.3359141,3.2400444,-1.8330009,1.9396988,-0.4437858,3.0964282,1.792631,-0.63141465,-2.125253,-4.061209,-2.5173876,0.4446571,0.8936684,-1.6862838,3.1596012,-0.89840204,-0.6149456,-1.7490555,1
1,0,-3.0853877,-0.4748453,-2.3040571,-1.4486248,-2.2528956,0.19783539,-0.5620411,2.4688988,0.4933696,0.6239737,1.5583631,-0.63879293,0.4396338,2.4937193,2.247316,-0.583191,-0.35551298,1.3550705,-1.9432762,-1.7213049,-0.39642975,2.7333126,-1.3189374,-0.014106959,-1.5393304,-2.641538,1.3003768,-2.3008788,-0.8387128,-0.8482539,0.3744999,-1.9993263,-0.01361679,-3.2520611,-0.17715319,-1.4623287,3.2001865,0.3404752,-1.3221569,0.17501001,0.35153988,2.8466089,1.9400003,-1.7610838,-0.49242687,0.5673497,1.242192,-2.214086,1.2746245,-0.94288707,-0.56151474,0.5539209,-3.4841485,1.2762219,-2.3242402,1.1697358,0.4871224,-1.4092586,-1.3958077,-2.0785625,-0.16571054,0.10045359,2.3404071,-1.3099294,1
2,34,1.9684637,0.5268212,-2.2161493,4.3423986,0.44339544,3.1590536,-0.071328044,1.6824113,-0.10784694,-0.9101423,3.5282886,-0.1490114,0.07834031,1.2458965,-3.1672204,1.0701442,-0.48511055,-0.083024986,-0.05551337,2.5488982,1.1617777,-2.7904365,1.3570945,3.1173413,2.2832463,2.0892763,2.1926408,-0.4155713,3.3270428,0.7642189,-0.78870153,2.5605474,-2.3411314,3.0461442,-1.366981,0.41299912,2.15271,-0.6099927,-5.2736855,0.49402994,0.39490288,3.3865843,-0.54620504,0.95491534,1.3804989,-0.58587664,-1.9653673,0.3178059,0.9769057,0.89639264,0.39946267,-0.50597364,1.1288515,-3.160302,-1.5275177,0.42604947,1.3893292,1.5537884,3.1085372,-0.09734644,1.3375566,0.8135271,-3.1444154,0.8546566,1
3,49,2.2824805,0.8631968,1.5940566,0.19931667,-1.075068,3.1622002,-0.046136934,0.86638635,2.4689724,-0.08101948,-1.5856175,3.1185384,-4.438652,2.547157,-2.534455,2.8650737,-1.4771069,-2.842991,-2.7852678,-0.6088629,1.413742,-0.9898118,1.2372377,2.2619343,3.8989148,-0.035247285,1.8824334,-1.0934997,4.9982944,-1.0573207,-0.49833876,-2.0619276,-1.0674487,2.4468997,3.4386742,0.8309591,-1.1445605,2.6187592,-2.352766,1.9744625,3.0622218,-0.17257757,-1.1121583,-0.014497386,5.498034,-2.2550943,0.5724859,0.8773608,-1.7398332,-1.5209754,-0.4166236,-1.6448056,0.56111026,-2.9341717,1.095462,-3.8535714,-2.5724576,0.014230683,4.0214295,-2.6755054,0.42803016,-1.3180257,-2.6409366,1.1108841,0
4,23,2.1804943,1.9614427,-3.425398,-1.5444169,-0.36962864,-5.1802254,-3.215015,1.8017597,1.3121494,1.0973076,-0.9829199,0.50244135,1.9781429,-0.21358848,-1.0066754,-0.513039,2.2110062,-1.143692,-1.0161203,-3.5881686,1.1892406,2.1245677,1.3682096,1.2724105,-2.3135478,3.0384142,0.7922302,2.3721077,1.3239323,1.93711,-0.77551746,0.25511596,0.56929195,1.1534147,-1.5010765,0.8117493,0.3803168,3.6563697,1.7843171,0.6035876,-0.47830093,1.9893947,1.8430272,-1.2494134,2.9928496,-0.4912303,3.517458,-3.3410342,-3.9510448,0.6243918,-0.5211385,-0.83303356,-4.3031626,1.5770905,-1.6384649,1.8574784,-0.59461164,0.6605538,-0.29233372,0.93042606,1.0512089,1.3940736,3.3076937,-1.7061242,1
5,24,-1.127869,0.97440135,1.3265865,-3.5577483,-2.1777723,1.732865,-0.99768376,-0.5606871,0.50737184,0.36336473,-0.42529383,-0.17147312,2.6820648,0.24411638,0.08293913,-0.6215958,1.7459468,0.5739037,-1.1434783,-1.7192228,-0.54521686,2.6720932,1.7353402,0.39448285,-2.5840106,-1.541291,-1.7158796,0.31012046,-2.2872477,1.7383898,-0.70416063,2.1854193,0.7203529,-1.432411,0.298176,2.9702954,0.9485069,-2.3763041,-1.8311915,0.15131758,0.82312214,-1.589852,1.0406603,0.047592297,-1.6282502,-0.40345806,-0.2312341,-0.4496163,1.8762276,-0.5954804,-1.1689072,0.7534211,0.9909696,1.4027606,1.4386086,2.241102,1.1282997,1.9205441,-0.80721295,0.57845575,-1.954705,-0.53734255,-0.23562942,0.4934553,1
6,42,-3.4329586,2.0886512,-1.5164689,-1.4248656,-2.3232174,-1.5865579,4.9892135,-1.1566895,0.14770919,4.5256453,1.2748924,1.1742971,-1.6408057,1.6489083,2.7726703,-3.0142019,0.0737901,0.0973717,-3.2895246,4.565852,3.4540994,-2.6581943,0.097656064,-1.4312339,1.5428902,2.2455344,-1.7446651,0.7399339,1.6570023,2.6157005,-0.46364528,1.8352929,1.8973508,0.3529411,0.9238662,-0.445527,-1.8748113,4.10482,-1.9866214,2.6860003,3.4725568,1.8851542,2.262734,-0.39871377,-2.1348207,3.5613153,1.9710355,2.7088392,-1.8695767,-1.208667,2.5089514,1.6628773,1.192883,-1.1743034,1.3672799,-0.34249365,0.82634735,-1.3403972,5.3151555,2.4947252,1.3417915,0.22283728,3.1477597,0.68844396,1
7,27,0.13397148,-2.0041254,-1.8569893,1.3354795,4.269493,-3.195151,2.0964599,-0.7558946,-0.69255537,-3.3162622,-1.030702,0.12325281,-1.8137419,-2.2379644,0.8789744,1.3900567,1.3985119,0.5828797,2.618914,3.8177872,1.1928451,-1.7823642,2.120952,0.40524498,0.14692548,3.0669749,1.8897849,-0.39653134,-1.3031712,-2.9116707,1.9911083,-2.3656824,1.0305387,-0.8537409,-0.041463517,-3.4833918,-2.0882905,-0.784353,2.8244324,-0.94314826,1.5087508,-0.82827246,-1.602443,-0.11865905,1.0519389,2.747014,0.67730796,-1.1411974,3.031772,1.1953342,0.7637008,0.14320242,-2.7896924,1.2318236,0.41195235,-3.3285513,1.340482,1.5757974,0.14662765,-1.6124225,2.1503675,-1.9928069,-0.51886785,-1.2496847,0
8,43,-1.5213455,-1.7302338,0.0037644233,1.6416607,0.17391533,-0.67508113,-0.74783397,-0.7698683,-1.2505335,-1.9064893,-1.5644985,-0.9422821,-1.1152865,0.4460964,1.3957605,0.84599346,0.6347201,1.6736381,0.08180644,-1.2768356,0.87029785,0.80845064,-0.2378494,1.2600032,0.2313422,0.30315128,-1.8032864,-0.094278514,-2.625752,-1.5354338,1.1214877,-0.54845136,-0.9621277,-0.7645755,0.57869416,-1.3377073,0.38186553,0.017912654,1.509719,-1.8279861,-0.6755418,-1.5260371,0.27430496,1.9991168,-0.7577589,1.6600521,-2.3043945,3.4463634,0.4240028,0.554057,-1.1931518,0.27012387,-0.0974655,0.07636362,-0.9746501,-3.2043204,2.8424497,0.6432606,-1.2921842,-2.7564328,0.46778148,-0.65279686,-1.3260206,-0.25559,0
9,45,-0.5244566,-0.40275648,0.26534754,-1.6812212,0.23601992,-0.12887836,-0.39161137,0.0068808584,0.13613975,-0.7419248,-0.44241828,-0.9235238,0.8940531,0.0487357,-0.0040470767,-0.49344,0.9858057,0.079196446,-0.30941185,-1.3811188,-0.38304368,0.8172261,0.17860341,-0.23198412,-1.3939962,-0.9349081,-1.3667907,0.8648611,-1.6936488,0.28216007,0.7157335,0.5072414,0.30901554,-1.8895993,-0.3409316,0.24591821,0.26568475,-0.7715318,-0.32727802,0.014813647,0.18203785,-1.4182333,0.79234266,-0.45408338,-1.232924,0.18443781,0.52537084,0.25656065,0.21027273,-0.9165939,-0.48541036,0.67535096,-0.53534627,0.99184835,1.029974,0.8832156,0.03750762,0.12856323,-1.5391092,-0.1635147,-1.6591724,-0.3585803,0.88477707,0.79433006,0
